id,first_name,second_name,last_name,phone
1,Komar,Alex,Komarov,+7945615
2,Komar,Gevorgovich,Komaridze,+77651521
3,Komar,Tya,Komaryan,+748561561
4,Oleg,Aaaa,Tinkoff,+75165155
5,Ксения,Александровна,Иванова,+794854635
6,Ксения,Ильинична,Петрова,+784651
7,Ната,Александровна,Иванова,+78998744
8,Ксения,Ильинична,Ступина,+79846515
9,Елена,Викторовна,Андреева,+7865213
10,Елена,-,Яковлева,+7846516
11,Елена,Константиновна,Кривова,+7184651
13,Семен,Иванович,Смирнов,+79128888888
14,Киса,-,Воробьянинов,+761666
15,Наталья,-,Крюкова,+7816351
